中文品类名,BLS_item_title,series_id,层级,状态,数据起始年份,数据起始年份_口径,备注,H1分组
医院服务,Hospital services,CUUR0000SEMD01,细项(level 3),已核实,1996,真实begin_year,,N
大学学费,College tuition and fees,CUUR0000SEEB01,细项(level 3),已核实,1977,真实begin_year,,N
医疗护理服务,Medical care services,CUUR0000SAM2,子类聚合(level 1),已核实,1935,真实begin_year,聚合层；更细可拆 SEMC01医生服务/SEMC02牙科,N
托儿照护,Day care and preschool,CUUR0000SEEB03,细项(level 3),已核实,1990,真实begin_year,,N
住房（位置性）,Owners' equivalent rent of primary residence,CUUR0000SEHC01,细项(level 3),已核实,1982,真实begin_year,OER口径；若原表用Housing整体口径则改用 CUUR0000SAH,N
食品饮料,Food and beverages,CUUR0000SAF,大类(level 0),已核实,1967,真实begin_year,,中性
手机通信服务,Wireless telephone services,CUUR0000SEED03,细项(level 3),已核实,1997,真实begin_year,,R
电脑软件,Computer software and accessories,CUUR0000SEEE02,细项(level 3),已核实,1997,真实begin_year,,R
玩具,Toys,CUUR0000SERE01,细项(level 3),已核实,1977,真实begin_year,,R
电视机,Televisions,CUUR0000SERA01,细项(level 3),已核实,1950,真实begin_year,,R
CPI总指数,All items,CUUR0000SA0,总指数(level 0),已核实,1913,真实begin_year,,基准
大学教科书,Educational books and supplies（SEEA聚合）,CUUR0000SEEA,商品组聚合(level 2),降级,1967,真实begin_year,"降级说明：BLS不单独发布college textbooks子项；候选CUUR0000SEEA01/CUUR0000SSEA011/CUUR0000SSEA01/CUUR0000SEEA02在cu.series中均不存在。退用聚合层SEEA（含文具、宽于大学教科书）。注意：实际1967起算非2001、覆盖1998窗口无缺口。2001-01→2026-07累计约+168.5%、与""约150%""同量级。",排除
住房（整体）,Housing,CUUR0000SAH,大类(level 0),已核实,≤1998,窗口最早观测年份,大类聚合，不入检验,排除
医疗保健（整体）,Medical care,CUUR0000SAM,大类(level 0),已核实,≤1998,窗口最早观测年份,大类聚合，不入检验,排除
娱乐（整体）,Recreation,CUUR0000SAR,大类(level 0),已核实,≤1998,窗口最早观测年份,大类聚合，不入检验,排除
服装（整体）,Apparel,CUUR0000SAA,大类(level 0),已核实,≤1998,窗口最早观测年份,大类聚合，不入检验,排除
交通（整体）,Transportation,CUUR0000SAT,大类(level 0),已核实,≤1998,窗口最早观测年份,大类聚合，不入检验,排除
教育与通信（整体）,Education and communication,CUUR0000SAE,大类(level 0),已核实,≤1998,窗口最早观测年份,大类聚合，不入检验,排除
其他商品与服务（整体）,Other goods and services,CUUR0000SAG,大类(level 0),已核实,≤1998,窗口最早观测年份,大类聚合，不入检验,排除
能源,Energy,CUUR0000SA0E,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
总指数（除食品）,All items less food,CUUR0000SA0L1,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
总指数（除食品与住房）,All items less food and shelter,CUUR0000SA0L12,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
总指数（除食品住房能源）,All items less food shelter and energy,CUUR0000SA0L12E,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
总指数（除食品住房能源二手车）,All items less food shelter energy and used cars and trucks,CUUR0000SA0L12E4,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
总指数（除食品与能源）,All items less food and energy,CUUR0000SA0L1E,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
总指数（除住房）,All items less shelter,CUUR0000SA0L2,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
总指数（除医疗）,All items less medical care,CUUR0000SA0L5,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
总指数（除能源）,All items less energy,CUUR0000SA0LE,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
服装（除鞋类）,Apparel less footwear,CUUR0000SA311,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
男装及童男装,Men's and boys' apparel,CUUR0000SAA1,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
女装及童女装,Women's and girls' apparel,CUUR0000SAA2,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
商品（整体）,Commodities,CUUR0000SAC,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
能源商品,Energy commodities,CUUR0000SACE,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
商品（除食品）,Commodities less food,CUUR0000SACL1,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
商品（除食品饮料）,Commodities less food and beverages,CUUR0000SACL11,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
商品（除食品能源）,Commodities less food and energy commodities,CUUR0000SACL1E,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
商品（除食品能源二手车）,Commodities less food energy and used cars and trucks,CUUR0000SACL1E4,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
耐用消费品,Durables,CUUR0000SAD,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
教育,Education,CUUR0000SAE1,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
通信,Communication,CUUR0000SAE2,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
教育与通信商品,Education and communication commodities,CUUR0000SAEC,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层，不入检验,排除
教育与通信服务,Education and communication services,CUUR0000SAES,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层，不入检验,排除
食品,Food,CUUR0000SAF1,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
个人护理,Personal care,CUUR0000SAG1,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
其他商品,Other goods,CUUR0000SAGC,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层，不入检验,排除
其他个人服务,Other personal services,CUUR0000SAGS,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层，不入检验,排除
住所 Shelter,Shelter,CUUR0000SAH1,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
燃料与公用事业,Fuels and utilities,CUUR0000SAH2,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
家居陈设与运营,Household furnishings and operations,CUUR0000SAH3,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
家居陈设与用品,Household furnishings and supplies,CUUR0000SAH31,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层，不入检验,排除
医疗保健商品,Medical care commodities,CUUR0000SAM1,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
非耐用消费品,Nondurables,CUUR0000SAN,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
国产农产食品,Domestically produced farm food,CUUR0000SAN1D,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
非耐用消费品（除食品）,Nondurables less food,CUUR0000SANL1,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
非耐用消费品（除食品饮料）,Nondurables less food and beverages,CUUR0000SANL11,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
非耐用消费品（除食品饮料服装）,Nondurables less food beverages and apparel,CUUR0000SANL113,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
非耐用消费品（除食品服装）,Nondurables less food and apparel,CUUR0000SANL13,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
娱乐商品,Recreation commodities,CUUR0000SARC,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层，不入检验,排除
娱乐服务,Recreation services,CUUR0000SARS,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层，不入检验,排除
服务（整体）,Services,CUUR0000SAS,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
公用事业与公共交通,Utilities and public transportation,CUUR0000SAS24,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
住房租金（rent of shelter）,Rent of shelter,CUUR0000SAS2RS,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
其他服务,Other services,CUUR0000SAS367,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
交通服务,Transportation services,CUUR0000SAS4,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
服务（除住房租金）,Services less rent of shelter,CUUR0000SASL2RS,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
服务（除医疗服务）,Services less medical care services,CUUR0000SASL5,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
服务（除能源服务）,Services less energy services,CUUR0000SASLE,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,交叉集合，不入检验,排除
私人交通,Private transportation,CUUR0000SAT1,子类聚合(level 1),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
交通商品（除汽车燃油）,Transportation commodities less motor fuel,CUUR0000SATCLTB,商品组聚合(level 2),已核实,2009,窗口最早观测年份,交叉集合，不入检验,排除
鞋类,Footwear,CUUR0000SEAE,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SEAE01/02/03，不入检验,排除
婴幼儿服装,Infants' and toddlers' apparel,CUUR0000SEAF,细项(level 3),已核实,≤1998,窗口最早观测年份,可贸易制成品（服装）,R
珠宝与手表,Jewelry and watches,CUUR0000SEAG,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SEAG01/02，不入检验,排除
信息技术商品,Information technology commodities,CUUR0000SEEEC,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层；含子项，不入检验,排除
烟草及吸烟用品,Tobacco and smoking products,CUUR0000SEGA,细项(level 3),已核实,≤1998,窗口最早观测年份,税驱动，外生；不定向,中性
影音（整体）,Video and audio,CUUR0000SERA,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SERA01-06，不入检验,排除
影音产品,Video and audio products,CUUR0000SERAC,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层，不入检验,排除
影音服务,Video and audio services,CUUR0000SERAS,商品组聚合(level 2),已核实,2009,窗口最早观测年份,聚合层，不入检验,排除
宠物及相关（整体）,Pets pet products and services,CUUR0000SERB,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SERB01/02，不入检验,排除
体育用品（整体）,Sporting goods,CUUR0000SERC,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SERC01/02，不入检验,排除
摄影（整体）,Photography,CUUR0000SERD,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SERD01/02，不入检验,排除
其他娱乐商品（整体）,Other recreational goods,CUUR0000SERE,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SERE01/02/03，不入检验,排除
其他娱乐服务（整体）,Other recreation services,CUUR0000SERF,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SERF01/02/03，不入检验,排除
娱乐读物（整体）,Recreational reading materials,CUUR0000SERG,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SERG01/02，不入检验,排除
公共交通,Public transportation,CUUR0000SETG,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SETG01/02/03，不入检验,排除
信息与信息处理,Information and information processing,CUUR0000SAE21,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
居家食品,Food at home,CUUR0000SAF11,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
酒精饮料,Alcoholic beverages,CUUR0000SAF116,细项(level 3),已核实,≤1998,窗口最早观测年份,税驱动；⚠️ item_code 待 Action 核验 cu.item（可能为 Other food at home）,中性
家庭能源,Household energy,CUUR0000SAH21,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层，不入检验,排除
男装,Men's apparel,CUUR0000SEAA,商品组聚合(level 2),已核实,≤1998,窗口最早观测年份,聚合层；含子项 SEAA01-04，不入检验,排除
童男装,Boys' apparel,CUUR0000SEAB,细项(level 3),已核实,≤1998,窗口最早观测年份,可贸易制成品（服装）,R
