date,model_id,weight_norm,usd_per_mtok,usd_per_mtok_alt,alt_price_id,j_per_token,j_per_token_low,j_per_token_high,quality_score,quality_weight,usd_per_kwh,contrib_R_A,contrib_R_A_low,contrib_R_A_high,basket_version,source
2026-08-18,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-18,deepseek/deepseek-v4-pro,0.2000,3.9600,0.8700,deepseek-v4-pro,1.500,,,53,0.9636,9.5040,1.900800,,,v1,live
2026-08-18,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-18,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-19,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-19,deepseek/deepseek-v4-pro,0.2000,3.9600,0.8700,deepseek-v4-pro,1.500,,,53,0.9636,9.5040,1.900800,,,v1,live
2026-08-19,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-19,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-20,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-20,deepseek/deepseek-v4-pro,0.2000,2.8800,0.8700,deepseek-v4-pro,1.500,,,53,0.9636,6.9120,1.382400,,,v1,live
2026-08-20,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-20,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-21,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-21,deepseek/deepseek-v4-pro,0.2000,3.2000,0.8700,deepseek-v4-pro,1.500,,,53,0.9636,7.6800,1.536000,,,v1,live
2026-08-21,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-21,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-22,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-22,deepseek/deepseek-v4-pro,0.2000,1.0642,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,2.5540,0.510808,,,v1,live
2026-08-22,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-22,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-23,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-23,deepseek/deepseek-v4-pro,0.2000,0.8275,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,1.9861,0.397221,,,v1,live
2026-08-23,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-23,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-24,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-24,deepseek/deepseek-v4-pro,0.2000,1.0384,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,2.4922,0.498447,,,v1,live
2026-08-24,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-24,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-25,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-25,deepseek/deepseek-v4-pro,0.2000,1.5806,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,3.7935,0.758696,,,v1,live
2026-08-25,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-25,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-26,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-26,deepseek/deepseek-v4-pro,0.2000,1.5806,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,3.7935,0.758696,,,v1,live
2026-08-26,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-26,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-27,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-27,deepseek/deepseek-v4-pro,0.2000,1.7400,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,4.1760,0.835200,,,v1,live
2026-08-27,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-27,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-28,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-28,deepseek/deepseek-v4-pro,0.2000,1.7400,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,4.1760,0.835200,,,v1,live
2026-08-28,google/gemini-3.7-flash,0.2500,1.8750,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,6.7500,1.687500,,,v1,live
2026-08-28,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-29,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-29,deepseek/deepseek-v4-pro,0.2000,1.3617,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,3.2681,0.653628,,,v1,live
2026-08-29,google/gemini-3.7-flash,0.2500,3.7500,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,13.5000,3.375000,,,v1,live
2026-08-29,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-30,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-30,deepseek/deepseek-v4-pro,0.2000,0.9765,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,2.3436,0.468714,,,v1,live
2026-08-30,google/gemini-3.7-flash,0.2500,3.7500,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,13.5000,3.375000,,,v1,live
2026-08-30,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-08-31,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,,,55,1.0000,12.0000,3.600000,,,v1,live
2026-08-31,deepseek/deepseek-v4-pro,0.2000,3.2000,3.9600,deepseek-v4-pro,1.500,,,53,0.9636,7.6800,1.536000,,,v1,live
2026-08-31,google/gemini-3.7-flash,0.2500,3.7500,3.7500,gemini-3.7-flash,1.000,,,56,1.0182,13.5000,3.375000,,,v1,live
2026-08-31,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,,,56,1.0182,36.0000,9.000000,,,v1,live
2026-09-01,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,1.500,4.500,55,1.0000,12.0000,3.600000,2.400000,7.200000,v1,live
2026-09-01,deepseek/deepseek-v4-pro,0.2000,3.2000,3.9600,deepseek-v4-pro,1.500,1.000,2.500,53,0.9636,7.6800,1.536000,0.921600,2.304000,v1,live
2026-09-01,google/gemini-3.7-flash,0.2500,3.7500,3.7500,gemini-3.7-flash,1.000,0.500,1.500,56,1.0182,13.5000,3.375000,2.250000,6.750000,v1,live
2026-09-01,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,1.500,5.000,56,1.0182,36.0000,9.000000,5.400000,18.000000,v1,live
2026-09-02,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,1.500,4.500,55,1.0000,12.0000,3.600000,2.400000,7.200000,v1,live
2026-09-02,deepseek/deepseek-v4-pro,0.2000,2.0845,3.9600,deepseek-v4-pro,1.500,1.000,2.500,53,0.9636,5.0028,1.000570,0.600342,1.500854,v1,live
2026-09-02,google/gemini-3.7-flash,0.2500,3.7500,3.7500,gemini-3.7-flash,1.000,0.500,1.500,56,1.0182,13.5000,3.375000,2.250000,6.750000,v1,live
2026-09-02,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,1.500,5.000,56,1.0182,36.0000,9.000000,5.400000,18.000000,v1,live
2026-09-03,anthropic/claude-sonnet-5,0.3000,10.0000,10.0000,claude-sonnet-5,3.000,1.500,4.500,55,1.0000,12.0000,3.600000,2.400000,7.200000,v1,live
2026-09-03,deepseek/deepseek-v4-pro,0.2000,2.0845,3.9600,deepseek-v4-pro,1.500,1.000,2.500,53,0.9636,5.0028,1.000570,0.600342,1.500854,v1,live
2026-09-03,google/gemini-3.7-flash,0.2500,3.7500,3.7500,gemini-3.7-flash,1.000,0.500,1.500,56,1.0182,13.5000,3.375000,2.250000,6.750000,v1,live
2026-09-03,openai/gpt-5.5,0.2500,30.0000,30.0000,gpt-5.5,3.000,1.500,5.000,56,1.0182,36.0000,9.000000,5.400000,18.000000,v1,live
