date,btc_price_usd,hashprice_usd_per_ph_day,fleet_efficiency_j_per_th,epsilon_btc_gwh,basket_price_usd_per_mtok,basket_j_per_token,basket_price_alt_usd_per_mtok,alt_coverage,R_M,R_A,Lambda,Omega,rho_parity_tok_per_btc,rho_market_tok_per_btc,source,basket_version,Lambda_chained,R_A_low,R_A_high,Lambda_low,Lambda_high,R_A_alt,Lambda_alt,alt_deviation
2026-08-16,63006.00,31.6177,20.0,0.9565,11.4360,2.200,,,0.065870,15.4088,233.93,,,6.3006e+09,live,v1,233.93,,,,,,,
2026-08-17,63167.00,31.4946,20.0,0.9627,11.1428,2.200,,,0.065614,14.7051,224.12,5.7416,1.9681e+12,6.3167e+09,live,v1,224.12,,,,,,,
2026-08-18,64233.00,31.1692,20.0,0.9892,11.7608,2.200,11.6115,4/4,0.064936,16.1883,249.30,5.7520,2.0222e+12,6.4233e+09,live,v1,249.30,,,,,,,
2026-08-19,64372.00,30.8876,20.0,1.0004,11.7608,2.200,11.6115,4/4,0.064349,16.1883,251.57,5.7611,2.0451e+12,6.4372e+09,live,v1,251.57,,,,,,,
2026-08-20,69614.00,34.1544,20.0,0.9783,11.5448,2.200,11.6115,4/4,0.071155,15.6699,220.22,5.6606,2.0001e+12,6.9614e+09,live,v1,220.22,,,,,,,
2026-08-21,75514.00,37.3018,20.0,0.9717,11.6087,2.200,11.6115,4/4,0.077712,15.8235,203.62,5.5724,1.9865e+12,7.5514e+09,live,v1,203.62,,,,,,,
2026-08-22,77934.00,38.9421,20.0,0.9606,11.1816,2.200,12.2295,4/4,0.081129,14.7983,182.40,5.5294,1.9638e+12,7.7934e+09,live,v1,182.40,,,,,,,
2026-08-23,77245.00,38.4761,20.0,0.9637,11.1343,2.200,12.2295,4/4,0.080158,14.6847,183.20,5.5414,1.9701e+12,7.7245e+09,live,v1,183.20,,,,,,,
2026-08-24,77125.00,39.1997,20.0,0.9444,11.1764,2.200,12.2295,4/4,0.081666,14.7859,181.05,5.5228,1.9307e+12,7.7125e+09,live,v1,181.05,,,,,,,
2026-08-25,79725.00,41.4586,20.0,0.9230,11.2849,2.200,12.2295,4/4,0.086372,15.0462,174.20,5.4668,1.8870e+12,7.9725e+09,live,v1,174.20,,,,,,,
2026-08-26,78799.00,41.6074,20.0,0.9091,11.2849,2.200,12.2295,4/4,0.086682,15.0462,173.58,5.4632,1.8584e+12,7.8799e+09,live,v1,173.58,,,,,,,
2026-08-27,80472.00,40.9994,20.0,0.9421,11.3167,2.200,12.2295,4/4,0.085415,15.1227,177.05,5.4779,1.9260e+12,8.0472e+09,live,v1,177.05,,,,,,,
2026-08-28,79684.00,40.4305,20.0,0.9460,11.3167,2.200,12.2295,4/4,0.084230,15.1227,179.54,5.4919,1.9340e+12,7.9684e+09,live,v1,179.54,,,,,,,
2026-08-29,77455.00,39.4537,20.0,0.9423,11.7098,2.200,12.2295,4/4,0.082195,16.6286,202.31,5.5163,1.9265e+12,7.7455e+09,live,v1,202.31,,,,,,,
2026-08-30,78143.00,39.2591,20.0,0.9554,11.6328,2.200,12.2295,4/4,0.081790,16.4437,201.05,5.5213,1.9532e+12,7.8143e+09,live,v1,201.05,,,,,,,
2026-08-31,77927.00,38.8133,20.0,0.9637,12.0775,2.200,12.2295,4/4,0.080861,17.5110,216.56,5.5327,1.9702e+12,7.7927e+09,live,v1,216.56,,,,,,,
2026-09-01,78718.00,38.5759,20.0,0.9795,12.0775,2.200,12.2295,4/4,0.080366,17.5110,217.89,5.5388,2.0024e+12,7.8718e+09,live,v1,217.89,10.9716,34.2540,136.52,426.22,17.8758,222.43,+0.0208
2026-09-02,77342.00,37.9605,20.0,0.9780,11.8544,2.200,12.2295,4/4,0.079084,16.9756,214.65,5.5549,1.9993e+12,7.7342e+09,live,v1,214.65,10.6503,33.4509,134.67,422.98,17.8758,226.03,+0.0530
2026-09-03,77630.00,38.8715,20.0,0.9586,11.8544,2.200,12.2295,4/4,0.080982,16.9756,209.62,5.5312,1.9597e+12,7.7630e+09,live,v1,209.62,10.6503,33.4509,131.51,413.06,17.8758,220.74,+0.0530
2026-09-04,81066.00,39.2284,20.0,0.9919,11.8544,2.200,12.2295,4/4,0.081726,16.9756,207.71,5.5221,2.0279e+12,8.1066e+09,live,v1,207.71,10.6503,33.4509,130.32,409.31,17.8758,218.73,+0.0530
