date,days,btc_price_usd_avg,hashrate_th_s_avg,fleet_efficiency_j_per_th,reward_btc_per_day_avg,fees_share_pct,R_M_usd_per_kwh,epsilon_btc_gwh,quality,source
2010-07,31,0.00,0.0,1000000.0,7200.31,0.00,0.000000,0.0000,low,backfill_v1
2010-08,31,0.03,0.0,1000000.0,7200.35,0.00,2.275916,0.0000,low,backfill_v1
2010-09,30,0.06,0.0,1000000.0,7200.07,0.00,2.587539,0.0000,low,backfill_v1
2010-10,31,0.11,0.0,1000000.0,7200.03,0.00,2.142498,0.0000,low,backfill_v1
2010-11,30,0.28,0.0,1000000.0,7200.17,0.00,1.738382,0.0000,low,backfill_v1
2010-12,31,0.25,0.1,1000000.0,7200.09,0.00,0.734693,0.0000,low,backfill_v1
2011-01,31,0.38,0.1,700000.0,7200.27,0.00,1.089612,0.0000,low,backfill_v1
2011-02,28,0.96,0.3,700000.0,7200.47,0.01,1.332804,0.0000,low,backfill_v1
2011-03,31,0.88,0.5,700000.0,7204.22,0.06,0.713025,0.0000,low,backfill_v1
2011-04,30,1.22,0.7,700000.0,7205.42,0.08,0.730746,0.0000,low,backfill_v1
2011-05,31,6.48,2.2,700000.0,7213.44,0.19,1.257031,0.0000,low,backfill_v1
2011-06,30,19.44,8.3,700000.0,7228.12,0.39,1.002577,0.0000,low,backfill_v1
2011-07,31,14.82,12.4,700000.0,7212.31,0.17,0.511509,0.0000,low,backfill_v1
2011-08,31,11.13,13.0,700000.0,7207.89,0.11,0.368095,0.0000,low,backfill_v1
2011-09,30,6.53,12.1,700000.0,7205.39,0.07,0.230937,0.0000,low,backfill_v1
2011-10,31,3.95,9.5,700000.0,7203.86,0.05,0.179040,0.0000,low,backfill_v1
2011-11,30,2.84,8.1,700000.0,7203.29,0.05,0.149334,0.0000,low,backfill_v1
2011-12,31,3.55,8.3,700000.0,7216.31,0.23,0.183101,0.0000,low,backfill_v1
2012-01,31,6.41,9.5,200000.0,7218.74,0.26,1.018107,0.0000,low,backfill_v1
2012-02,29,5.33,10.2,200000.0,7205.45,0.08,0.782309,0.0000,low,backfill_v1
2012-03,31,5.01,11.2,200000.0,7205.02,0.07,0.668754,0.0000,low,backfill_v1
2012-04,30,5.05,11.1,200000.0,7205.50,0.08,0.685479,0.0000,low,backfill_v1
2012-05,31,5.12,11.6,200000.0,7215.08,0.21,0.661543,0.0000,low,backfill_v1
2012-06,30,6.06,12.3,200000.0,7221.54,0.30,0.741957,0.0000,low,backfill_v1
2012-07,31,8.04,13.9,200000.0,7219.00,0.26,0.870188,0.0000,low,backfill_v1
2012-08,31,11.44,17.1,200000.0,7225.10,0.35,1.005083,0.0000,low,backfill_v1
2012-09,30,11.66,21.1,200000.0,7223.09,0.32,0.832279,0.0000,low,backfill_v1
2012-10,31,12.02,22.7,200000.0,7226.18,0.36,0.797189,0.0000,low,backfill_v1
2012-11,30,11.59,24.7,200000.0,6867.29,0.40,0.669627,0.0000,low,backfill_v1
2012-12,31,13.46,22.4,200000.0,3630.14,0.83,0.454264,0.0000,low,backfill_v1
2013-01,31,15.65,22.1,30000.0,3642.52,1.17,3.577538,0.0000,medium,backfill_v1
2013-02,28,25.83,28.0,30000.0,3650.58,1.39,4.671796,0.0000,medium,backfill_v1
2013-03,31,55.77,43.8,30000.0,3655.50,1.52,6.467298,0.0000,medium,backfill_v1
2013-04,30,129.01,67.3,8000.0,3653.15,1.45,36.452955,0.0000,medium,backfill_v1
2013-05,31,120.22,87.7,8000.0,3651.26,1.40,26.079300,0.0000,medium,backfill_v1
2013-06,30,108.93,145.0,8000.0,3641.70,1.15,14.255696,0.0000,medium,backfill_v1
2013-07,31,90.26,224.5,2500.0,3629.80,0.82,24.320812,0.0000,medium,backfill_v1
2013-08,31,107.03,455.5,2500.0,3643.73,1.20,14.273255,0.0000,medium,backfill_v1
2013-09,30,125.08,979.5,2500.0,3644.57,1.22,7.757970,0.0000,medium,backfill_v1
2013-10,31,154.29,2445.6,900.0,3635.11,0.97,10.619161,0.0000,medium,backfill_v1
2013-11,30,516.08,4643.5,900.0,3639.51,1.09,18.688858,0.0000,medium,backfill_v1
2013-12,31,803.14,8454.3,900.0,3615.97,0.44,15.905407,0.0001,medium,backfill_v1
2014-01,31,816.26,15190.7,800.0,3614.15,0.39,10.114984,0.0001,medium,backfill_v1
2014-02,28,670.23,24425.2,800.0,3614.14,0.39,5.165096,0.0001,medium,backfill_v1
2014-03,31,597.27,34834.8,800.0,3613.55,0.37,3.227019,0.0002,medium,backfill_v1
2014-04,30,463.50,53247.4,800.0,3613.26,0.37,1.638149,0.0003,medium,backfill_v1
2014-05,31,482.31,72229.7,800.0,3611.97,0.33,1.256179,0.0004,medium,backfill_v1
2014-06,30,612.72,106026.3,800.0,3610.96,0.30,1.086849,0.0006,medium,backfill_v1
2014-07,31,620.29,132135.9,800.0,3610.80,0.30,0.882824,0.0007,medium,backfill_v1
2014-08,31,540.22,173301.0,800.0,3612.00,0.33,0.586419,0.0009,medium,backfill_v1
2014-09,30,446.90,232529.3,800.0,3613.03,0.36,0.361654,0.0012,medium,backfill_v1
2014-10,31,365.83,262930.2,800.0,3612.43,0.34,0.261777,0.0014,medium,backfill_v1
2014-11,30,364.61,288575.4,800.0,3613.00,0.36,0.237757,0.0015,medium,backfill_v1
2014-12,31,343.90,287326.4,800.0,3613.27,0.37,0.225247,0.0015,medium,backfill_v1
2015-01,31,252.63,307269.8,500.0,3614.51,0.40,0.247645,0.0010,medium,backfill_v1
2015-02,28,233.33,329676.8,500.0,3613.77,0.38,0.213135,0.0011,medium,backfill_v1
2015-03,31,268.89,343595.6,500.0,3614.58,0.40,0.235726,0.0011,medium,backfill_v1
2015-04,30,235.34,341947.6,500.0,3618.78,0.52,0.207548,0.0011,medium,backfill_v1
2015-05,31,236.46,344306.7,500.0,3615.96,0.44,0.206948,0.0011,medium,backfill_v1
2015-06,30,236.32,354257.1,500.0,3618.94,0.52,0.201180,0.0012,medium,backfill_v1
2015-07,31,278.90,372456.8,500.0,3630.78,0.85,0.226566,0.0012,medium,backfill_v1
2015-08,31,252.74,391718.7,500.0,3625.18,0.69,0.194926,0.0013,medium,backfill_v1
2015-09,30,233.28,427630.7,500.0,3627.58,0.76,0.164907,0.0014,medium,backfill_v1
2015-10,31,262.82,445402.2,500.0,3626.67,0.74,0.178345,0.0015,medium,backfill_v1
2015-11,30,346.49,509663.6,500.0,3627.87,0.77,0.205545,0.0017,medium,backfill_v1
2015-12,31,422.44,684293.5,500.0,3634.24,0.94,0.186971,0.0023,medium,backfill_v1
2016-01,31,412.46,864238.8,200.0,3637.10,1.02,0.361603,0.0011,medium,backfill_v1
2016-02,29,400.52,1136043.0,200.0,3643.68,1.20,0.267626,0.0015,medium,backfill_v1
2016-03,31,415.77,1190572.7,200.0,3645.20,1.24,0.265213,0.0016,medium,backfill_v1
2016-04,30,433.00,1280972.9,200.0,3653.80,1.47,0.257350,0.0017,medium,backfill_v1
2016-05,31,458.04,1410188.7,200.0,3650.01,1.37,0.246992,0.0019,medium,backfill_v1
2016-06,30,636.45,1493211.2,200.0,3662.40,1.70,0.325289,0.0020,medium,backfill_v1
2016-07,31,662.13,1494486.8,200.0,2323.06,2.52,0.214964,0.0031,medium,backfill_v1
2016-08,31,578.78,1577254.2,200.0,1868.73,3.68,0.142864,0.0041,medium,backfill_v1
2016-09,30,602.89,1715527.6,200.0,1860.16,3.23,0.136192,0.0044,medium,backfill_v1
