parent_code,item_code,item_name,has_children,display_level,source_note
,SA0,All items,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SA0E,Energy,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SA0L1,All items less food,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SA0L12,All items less food and shelter,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SA0L12E,All items less food shelter and energy,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SA0L12E4,All items less food shelter energy and used cars and trucks,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SA0L1E,All items less food and energy,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SA0L2,All items less shelter,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SA0L5,All items less medical care,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SA0LE,All items less energy,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA,SA311,Apparel less footwear,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAA,Apparel,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA,SAA1,Men's and boys' apparel,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA,SAA2,Women's and girls' apparel,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAC,Commodities,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SACE,Energy commodities,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SACL1,Commodities less food,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SACL11,Commodities less food and beverages,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SACL1E,Commodities less food and energy commodities,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SACL1E4,Commodities less food energy and used cars and trucks,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAD,Durables,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAE,Education and communication,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAE,SAE1,Education,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAE,SAE2,Communication,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAE2,SAE21,Information and information processing,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAE,SAEC,Education and communication commodities,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAE,SAES,Education and communication services,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAF,Food and beverages,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAF,SAF1,Food,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAF1,SAF11,Food at home,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAF,SAF116,Alcoholic beverages,0,1,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAG,Other goods and services,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAG,SAG1,Personal care,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAG,SAGC,Other goods,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAG,SAGS,Other personal services,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAH,Housing,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH,SAH1,Shelter,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH,SAH2,Fuels and utilities,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH2,SAH21,Household energy,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH,SAH3,Household furnishings and operations,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAH3,SAH31,Household furnishings and supplies,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAM,Medical care,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAM,SAM1,Medical care commodities,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAM,SAM2,Medical care services,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAN,Nondurables,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAN1D,Domestically produced farm food,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SANL1,Nondurables less food,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SANL11,Nondurables less food and beverages,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SANL113,Nondurables less food beverages and apparel,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SANL13,Nondurables less food and apparel,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAR,Recreation,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SARC,Recreation commodities,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAR,SARS,Recreation services,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAS,Services,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAS24,Utilities and public transportation,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAS2RS,Rent of shelter,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAS367,Other services,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAS4,Transportation services,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SASL2RS,Services less rent of shelter,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SASL5,Services less medical care services,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SASLE,Services less energy services,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
,SAT,Transportation,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAT,SAT1,Private transportation,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
,SATCLTB,Transportation commodities less motor fuel,1,0,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA1,SEAA,Men's apparel,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA1,SEAB,Boys' apparel,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA2,SEAC,Women's apparel,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA2,SEAD,Girls' apparel,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA,SEAE,Footwear,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SEAE,SEAE01,Men's footwear,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SEAE,SEAE02,Boys' and girls' footwear,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SEAE,SEAE03,Women's footwear,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA,SEAF,Infants' and toddlers' apparel,0,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SAA,SEAG,Jewelry and watches,1,1,v0 基于BLS结构推断，待Action拉取cu.item核验
SEAG,SEAG01,Watches,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SEAG,SEAG02,Jewelry,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAE1,SEEA,Educational books and supplies,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAE1,SEEB,Tuition other school fees and childcare,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SEEB,SEEB01,,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SEEB,SEEB03,,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAES,SEEC,Postage and delivery services,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAE21,SEED03,,0,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
SAE21,SEEE,Information technology hardware and services,1,2/3,v0 基于BLS结构推断，待Action拉取cu.item核验
